iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
AGO,Angola,10100,0,0,0,0,0,0,0,45398,0,0,0,0,0,0,0,0
BEN,Benin,0,0,0,5350,0,0,0,0,0,0,0,17974,0,0,0,88608,0
BWA,Botswana,0,0,6047,0,0,0,0,0,0,27211,0,0,0,0,0,24720,0
BFA,Burkina Faso,0,0,0,8237,0,0,0,0,0,57155,0,0,0,0,77037,0,0
BDI,Burundi,0,0,0,0,0,0,7024,0,0,0,0,0,0,32647,0,0,0
CPV,Cabo Verde,0,4584,0,0,0,0,0,33756,0,0,0,0,0,0,0,24395,0
CMR,Cameroon,0,10992,0,0,0,0,0,11391,0,0,0,0,0,0,46560,0,0
CAF,Central African Republic,0,0,0,5286,0,0,0,0,31966,0,0,0,0,0,0,0,0
TCD,Chad,0,0,0,6695,0,0,0,0,0,0,0,49985,0,0,0,0,0
COM,Comoros,0,0,0,0,2987,0,0,0,0,0,0,0,0,0,10671,0,0
CIV,Cote d'Ivoire,0,0,10798,0,0,0,0,0,12600,0,0,0,0,0,0,12899,0
COD,Democratic Republic of the Congo,0,0,0,0,11903,0,0,0,0,0,0,0,110529,0,0,0,0
DJI,Djibouti,0,0,10355,0,0,0,0,0,0,0,0,0,31683,3416,0,0,0
EGY,Egypt,0,0,0,0,47095,0,0,0,23428,0,34069,0,65411,0,0,11988,0
ETH,Ethiopia,0,0,0,0,21299,0,0,0,0,0,118991,0,0,0,0,125149,0
GAB,Gabon,0,0,0,0,0,37601,0,0,0,0,0,0,0,0,0,0,0
GMB,Gambia,0,0,0,2238,0,0,0,0,0,0,4620,0,0,0,0,104830,0
GHA,Ghana,0,0,0,0,0,8687,0,0,0,0,0,0,72372,0,0,0,59864
GIN,Guinea,0,0,7095,0,0,0,0,7552,0,0,0,0,49572,0,0,0,0
GNB,Guinea-Bissau,0,0,3216,0,0,0,0,0,0,0,3178,0,0,0,0,0,0
KEN,Kenya,0,0,0,0,0,13158,0,0,0,0,0,0,0,0,0,21773,0
LSO,Lesotho,0,0,5992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,0,0,0,0,0,0,0,3595,0,0,0,0,0,0,4085,0,36303
MDG,Madagascar,0,5080,0,0,0,11781,0,0,0,0,12460,0,77560,0,0,0,0
MWI,Malawi,0,0,0,0,11278,0,0,0,0,0,54664,0,0,0,0,0,53885
MLI,Mali,0,4966,0,0,0,0,4494,0,0,86936,0,0,0,0,0,0,0
MRT,Mauritania,5862,0,0,0,9385,0,0,0,13676,0,0,0,0,0,53715,0,0
MUS,Mauritius,0,0,0,0,0,0,6720,0,0,0,0,0,23741,0,0,0,0
MAR,Morocco,85412,0,0,0,0,0,36333,0,0,0,0,0,0,75691,0,0,0
MOZ,Mozambique,0,0,8700,0,0,0,0,0,51177,0,0,0,0,0,163571,0,0
NAM,Namibia,0,0,0,9766,0,0,0,0,0,44614,0,0,0,0,0,41581,0
NER,Niger,0,0,0,0,0,6690,0,4000,0,0,0,3859,0,0,22670,0,0
NGA,Nigeria,0,0,0,18930,0,0,0,0,0,149261,0,0,0,0,0,0,0
COG,Republic of the Congo,0,0,0,0,0,5002,0,0,0,0,0,44736,0,0,0,0,0
RWA,Rwanda,6420,0,0,0,0,6900,0,0,0,0,14308,0,0,65133,0,0,63439
STP,Sao Tome and Principe,2310,0,0,0,0,0,0,0,0,0,13757,0,0,0,0,0,0
SEN,Senegal,0,6565,0,0,0,13568,0,0,0,0,0,55017,0,0,0,0,0
SYC,Seychelles,0,0,0,0,0,0,1164,0,0,0,0,0,0,6514,0,0,0
SLE,Sierra Leone,0,0,0,3714,0,0,0,0,0,0,0,37921,0,0,0,0,0
ZAF,South Africa,-1,0,0,0,0,21080,0,0,23362,0,95042,0,0,0,88906,0,0
SSD,South Sudan,0,0,0,0,0,0,0,0,0,33660,0,0,0,0,0,0,0
SDN,Sudan,0,0,0,0,0,0,0,0,0,48822,0,0,0,0,11953,0,0
SWZ,Swaziland,3666,0,0,0,0,0,0,0,0,14145,0,0,0,0,0,0,14410
TZA,Tanzania,22176,0,0,0,0,0,0,10464,0,0,0,46593,0,0,0,0,0
TGO,Togo,0,0,0,0,0,0,7472,0,0,0,0,5491,0,0,0,10781,0
TUN,Tunisia,-1,0,0,0,0,56953,0,0,0,0,50371,0,0,0,0,105057,0
UGA,Uganda,0,0,9710,0,0,7421,0,0,0,6775,0,0,32929,0,0,0,70601
ZMB,Zambia,0,0,9715,0,19328,0,18626,0,0,0,19390,0,0,0,0,62402,0
ZWE,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
